Ticker,Model,Year,S0,Probability Up,Predicted,Actual,Actual Return (%),APE (%),VaR (%),ES (%),Lower CI,Upper CI
KO,GARCH,2018,30.848989486694336,0.7214,34.73190752509193,35.28571701049805,14.382083814179206,1.569500444730521,-16.39068916902651,-22.233385327444413,25.7926275081446,45.75365371383624
KO,GARCH,2019,35.28571701049805,0.6939,39.039648772455344,37.67578887939453,6.77348250620896,3.619990273930876,-17.312397780144433,-23.129918184647323,29.176913322064536,51.056706969215114
KO,GARCH,2020,37.67578887939453,0.7753,42.690235154966956,45.4367790222168,20.59940978984217,6.044759171654507,-13.26660186298815,-18.777134503419237,32.677491970025294,54.11033662609084
KO,GARCH,2021,45.4367790222168,0.7686,51.183781698873936,46.558677673339844,2.46914212509316,9.933924794824,-12.739337776614935,-18.032442741806705,39.64843426776248,64.79845280241437
KO,GARCH,2022,46.558677673339844,0.7197,52.12822365744984,51.85356140136719,11.372495939804727,0.5296883158258975,-15.709632369965476,-21.25534044334866,39.24448057454096,67.89031002449974
KO,GARCH,2023,51.85356140136719,0.7223,57.96252219495971,57.35499954223633,10.609566618357844,1.0592322510193755,-15.699231406481251,-21.656944046495425,43.71295080446471,75.32915705842011
KO,GARCH,2024,57.35499954223633,0.7196,64.32564999692539,54.81157684326172,-4.434526578806139,17.35778042085883,-17.215660784883376,-23.07249295955254,47.48095737787351,84.70788904850053
KO,GARCH,2025,54.81157684326172,0.6914,60.61312910299969,59.6774787902832,8.877507685896243,1.5678449084696158,-17.506804842382145,-22.83286718346693,45.215821054279566,79.419400394685
KO,GBM,2016,29.446060180664062,0.7157,33.185186099350744,30.95953941345215,5.139836105415289,7.188888233045017,-18.72639429386372,-24.521773186951563,23.93187484722451,43.957963227563965
KO,GBM,2017,30.95953941345215,0.7032,34.846455593572706,30.848989486694336,-0.3570787190386228,12.958175205714733,-18.71425847110355,-24.832622553223853,25.165691186155538,46.63730707237469
KO,GBM,2018,30.848989486694336,0.667,34.1753786343521,35.28571701049805,14.382083814179206,3.146707705601119,-19.94300621808059,-25.434469462643072,24.696773595147857,45.93644123336454
KO,GBM,2019,35.28571701049805,0.6472,38.520198074547025,37.67578887939453,6.77348250620896,2.241251531203675,-21.242324014648265,-27.023873638277145,27.790210672236192,51.494269825831395
KO,GBM,2020,37.67578887939453,0.7409,42.21075274582356,45.4367790222168,20.59940978984217,7.100032937668919,-14.41634972821531,-19.5449901571507,32.24431539167696,53.771075052910874
KO,GBM,2021,45.4367790222168,0.7483,50.61074242468766,46.558677673339844,2.46914212509316,8.703135384938312,-13.9543325375864,-18.686327011822083,39.096379783088366,64.08451108612499
KO,GBM,2022,46.558677673339844,0.6841,51.44086764845499,51.85356140136719,11.372495939804727,0.7958831404419529,-18.87012006061377,-24.55390197848875,37.77299929774644,67.76099433096813
KO,GBM,2023,51.85356140136719,0.6874,57.239238587833896,57.35499954223633,10.609566618357844,0.20183236915063685,-18.933279357760867,-24.796740391059544,42.03598176429828,75.20815980149516
KO,GBM,2024,57.35499954223633,0.6849,63.51357217805069,54.81157684326172,-4.434526578806139,15.87619958402775,-18.702905288829772,-24.7816147197149,46.62794829944312,84.15016489211474
KO,GBM,2025,54.81157684326172,0.6498,59.672892773291984,59.6774787902832,8.877507685896243,0.007684669466910454,-20.353895404127716,-25.67388176030872,43.65528582323114,78.49371867764707
KO,Historical Bootstrap,2016,29.446060180664062,0.7005,33.02416308219736,30.95953941345215,5.139836105415289,6.668780310885758,-18.581156772653813,-24.31843373108357,23.974641575124885,44.25397005172637
KO,Historical Bootstrap,2017,30.95953941345215,0.7105,34.90536682360937,30.848989486694336,-0.3570787190386228,13.149141687978513,-18.174231978263137,-24.044354464576656,25.33288090104955,46.77608729149027
KO,Historical Bootstrap,2018,30.848989486694336,0.6731,34.15434269219115,35.28571701049805,14.382083814179206,3.2063237314131814,-20.38657326071463,-26.256585841931372,24.55993764479924,45.87759050787838
KO,Historical Bootstrap,2019,35.28571701049805,0.6502,38.511650254902776,37.67578887939453,6.77348250620896,2.218563699313513,-20.50852754887172,-26.514607673067925,28.04913601658314,51.119505640341195
KO,Historical Bootstrap,2020,37.67578887939453,0.7476,42.38167542234883,45.4367790222168,20.59940978984217,6.723856016233334,-13.789769642445664,-18.9735781906834,32.480384381951865,54.1606371488185
KO,Historical Bootstrap,2021,45.4367790222168,0.7498,50.618660884870295,46.558677673339844,2.46914212509316,8.720142870069642,-13.808775210621171,-19.377606847771535,39.162516344092204,63.85508280486805
KO,Historical Bootstrap,2022,46.558677673339844,0.6806,51.304006912012774,51.85356140136719,11.372495939804727,1.0598201444653785,-19.198473724077616,-24.86427042324685,37.6201221739457,67.5510153906911
KO,Historical Bootstrap,2023,51.85356140136719,0.687,57.304691071092236,57.35499954223633,10.609566618357844,0.08771418628823234,-17.827795840885248,-23.795496824430536,42.60921433850337,75.14765706973756
KO,Historical Bootstrap,2024,57.35499954223633,0.6814,63.564244496906795,54.81157684326172,-4.434526578806139,15.968647788904269,-19.005996640144566,-24.90655958838182,46.45411025628396,84.52713106170665
KO,Historical Bootstrap,2025,54.81157684326172,0.6547,59.73404486257331,59.6774787902832,8.877507685896243,0.09478629700308353,-20.626763293032628,-26.54341951054669,43.50572263062344,78.77131490682812
KO,Jump Diffusion,2016,29.446060180664062,0.7233,34.02769624289623,30.95953941345215,5.139836105415289,9.910214711110813,-19.694892094847177,-26.404880871370008,23.646690401898514,47.12509560648497
KO,Jump Diffusion,2017,30.95953941345215,0.72,35.8285537044457,30.848989486694336,-0.3570787190386228,16.141741757535147,-20.646032534994198,-27.376790879829038,24.567622833466466,49.74068730256382
KO,Jump Diffusion,2018,30.848989486694336,0.6735,34.76472973762486,35.28571701049805,14.382083814179206,1.4764820358282176,-22.983070669061327,-29.434950277330252,23.758944432276078,48.73717960646011
KO,Jump Diffusion,2019,35.28571701049805,0.6604,39.39467917132244,37.67578887939453,6.77348250620896,4.562320638939543,-23.19015387612638,-29.51591511718047,27.10290493946905,54.48061070117446
KO,Jump Diffusion,2020,37.67578887939453,0.7268,42.29145368861584,45.4367790222168,20.59940978984217,6.922421442028313,-16.23234418985098,-22.03791849484186,31.56012515224961,55.336354151878005
