Ticker,Model,Strategy,Year,Probability Up,Expected Return (%),Decision,Predicted,Actual,Actual Return (%),VaR (%),ES (%),Strategy Return (%)
KO,GARCH,Expected Return,2022,0.7197,11.962423037841544,BUY,52.12822365744984,51.85356140136719,11.372495939804727,-15.709632369965476,-21.25534044334866,11.372495939804727
KO,GARCH,Expected Return,2023,0.7223,11.78117882069225,BUY,57.96252219495971,57.35499954223633,10.609566618357844,-15.699231406481251,-21.656944046495425,10.609566618357844
KO,GARCH,Expected Return,2024,0.7196,12.153518455798896,BUY,64.32564999692539,54.81157684326172,-4.434526578806139,-17.215660784883376,-23.07249295955254,-4.434526578806139
KO,GARCH,Expected Return,2025,0.6914,10.584538146618181,BUY,60.61312910299969,59.6774787902832,8.877507685896243,-17.506804842382145,-22.83286718346693,8.877507685896243
KO,GARCH,Probability,2016,0.7498,14.190254922530348,BUY,33.62453118494199,30.95953941345215,5.139836105415289,-15.473797041426703,-21.995732718041257,5.139836105415289
KO,GARCH,Probability,2017,0.7473,14.30807202794289,BUY,35.38925261224825,30.848989486694336,-0.3570787190386228,-15.860814792845993,-22.390121082517002,-0.3570787190386228
KO,GARCH,Probability,2018,0.7214,12.586856500023627,BUY,34.73190752509193,35.28571701049805,14.382083814179206,-16.39068916902651,-22.233385327444413,14.382083814179206
KO,GARCH,Probability,2019,0.6939,10.63867218807101,HOLD,39.039648772455344,37.67578887939453,6.77348250620896,-17.312397780144433,-23.129918184647323,0.0
KO,GARCH,Probability,2020,0.7753,13.309465905609486,BUY,42.690235154966956,45.4367790222168,20.59940978984217,-13.26660186298815,-18.777134503419237,20.59940978984217
KO,GARCH,Probability,2021,0.7686,12.648349641701234,BUY,51.183781698873936,46.558677673339844,2.46914212509316,-12.739337776614935,-18.032442741806705,2.46914212509316
KO,GARCH,Probability,2022,0.7197,11.962423037841544,BUY,52.12822365744984,51.85356140136719,11.372495939804727,-15.709632369965476,-21.25534044334866,11.372495939804727
KO,GARCH,Probability,2023,0.7223,11.78117882069225,BUY,57.96252219495971,57.35499954223633,10.609566618357844,-15.699231406481251,-21.656944046495425,10.609566618357844
KO,GARCH,Probability,2024,0.7196,12.153518455798896,BUY,64.32564999692539,54.81157684326172,-4.434526578806139,-17.215660784883376,-23.07249295955254,-4.434526578806139
KO,GARCH,Probability,2025,0.6914,10.584538146618181,HOLD,60.61312910299969,59.6774787902832,8.877507685896243,-17.506804842382145,-22.83286718346693,0.0
